cohort,model,metric,estimate,ci_lower,ci_upper,n,events,patients
internal,fusion,auroc,0.9007390740367106,0.8852049563677977,0.9154168364115642,35948,302,19595
internal,fusion,average_precision,0.10131281692815605,0.07715830869220144,0.13413083747193033,35948,302,19595
internal,fusion,calibrated_brier,0.00789255720903509,0.0070448147539814605,0.00876087392777311,35948,302,19595
internal,clinical_logistic,auroc,0.7312179032004558,0.7062426929422926,0.7568565672937038,35948,302,19595
internal,clinical_logistic,average_precision,0.022888532226152843,0.018538313577027215,0.03123266110319817,35948,302,19595
internal,clinical_logistic,calibrated_brier,0.008279209721312093,0.007344016595619305,0.009224972753421252,35948,302,19595
internal,clinical_xgboost,auroc,0.8151729683313436,0.7953263469557527,0.8341883471167632,35948,302,19595
internal,clinical_xgboost,average_precision,0.03401012045976246,0.026765262666552492,0.04821574176841661,35948,302,19595
internal,clinical_xgboost,calibrated_brier,0.008222211224985681,0.007296430464336297,0.009148141947663517,35948,302,19595
internal,clinical_ecg_xgboost,auroc,0.8543173156346457,0.8343587940679605,0.8735365852133472,35948,302,19595
internal,clinical_ecg_xgboost,average_precision,0.06602095216545614,0.05079364394616648,0.08963875681872156,35948,302,19595
internal,clinical_ecg_xgboost,calibrated_brier,0.00808763967617565,0.0071799736162719615,0.009002079241473069,35948,302,19595
external,fusion,auroc,0.8021249330335279,0.7943222355754952,0.8099692830430151,290920,3619,203825
external,fusion,average_precision,0.10867794766916045,0.10095305578796493,0.11766189853304286,290920,3619,203825
external,fusion,calibrated_brier,0.012067509821937711,0.011697040832702944,0.012457247572076847,290920,3619,203825
external,clinical_logistic,auroc,0.7417515594072881,0.733380535027281,0.7500456409444308,290920,3619,203825
external,clinical_logistic,average_precision,0.047718523756011495,0.043920427206975414,0.052478317073565775,290920,3619,203825
external,clinical_logistic,calibrated_brier,0.012169427902045449,0.01178400590550426,0.012578623242249844,290920,3619,203825
external,clinical_xgboost,auroc,0.7342131839302387,0.725605424595961,0.7423881089002604,290920,3619,203825
external,clinical_xgboost,average_precision,0.05467036027701912,0.049789030959761595,0.06033898566626521,290920,3619,203825
external,clinical_xgboost,calibrated_brier,0.012212031450923954,0.01182230554762192,0.012621311497719393,290920,3619,203825
external,clinical_ecg_xgboost,auroc,0.7945891312710914,0.7872331413052578,0.8017098816794933,290920,3619,203825
external,clinical_ecg_xgboost,average_precision,0.059633791519724755,0.055807490292672256,0.064361600222831,290920,3619,203825
external,clinical_ecg_xgboost,calibrated_brier,0.012131547146120613,0.011745605251347253,0.01253958247456856,290920,3619,203825
